Date,Value,Date,Value,Date,Value,Date,Value,Date,Value
2016-05-08T20:10:00.000Z,7.220444,2016-05-08T20:10:00.000Z,7.843534,2016-05-08T20:10:00.000Z,6.829646111,2016-05-08T20:10:00.000Z,4.900918007,2016-05-08T20:10:00.000Z,6.534125
2016-05-08T20:15:00.000Z,7.223649025,2016-05-08T20:15:00.000Z,7.882112,2016-05-08T20:15:00.000Z,6.842008114,2016-05-08T20:15:00.000Z,4.929727,2016-05-08T20:15:00.000Z,6.538361073
2016-05-08T20:20:00.000Z,7.215826988,2016-05-08T20:20:00.000Z,7.847732067,2016-05-08T20:20:00.000Z,6.84857,2016-05-08T20:20:00.000Z,4.870545864,2016-05-08T20:20:00.000Z,6.526875973
2016-05-08T20:25:00.000Z,7.222808,2016-05-08T20:25:00.000Z,7.871314,2016-05-08T20:25:00.000Z,6.860401154,2016-05-08T20:25:00.000Z,4.909087,2016-05-08T20:25:00.000Z,6.554385185
2016-05-08T20:30:00.000Z,7.201059,2016-05-08T20:30:00.000Z,7.861814,2016-05-08T20:30:00.000Z,6.861545086,2016-05-08T20:30:00.000Z,4.894512177,2016-05-08T20:30:00.000Z,6.524738789
2016-05-08T20:35:00.000Z,7.205103874,2016-05-08T20:35:00.000Z,7.854526043,2016-05-08T20:35:00.000Z,6.857154846,2016-05-08T20:35:00.000Z,4.867761,2016-05-08T20:35:00.000Z,6.549044132
2016-05-08T20:40:00.000Z,7.229028,2016-05-08T20:40:00.000Z,7.86376,2016-05-08T20:40:00.000Z,6.856356,2016-05-08T20:40:00.000Z,4.88882494,2016-05-08T20:40:00.000Z,6.589758
2016-05-08T20:45:00.000Z,7.288171,2016-05-08T20:45:00.000Z,7.852465153,2016-05-08T20:45:00.000Z,6.867803097,2016-05-08T20:45:00.000Z,4.918891907,2016-05-08T20:45:00.000Z,6.532066
2016-05-08T20:50:00.000Z,7.30141,2016-05-08T20:50:00.000Z,7.859982014,2016-05-08T20:50:00.000Z,6.83575201,2016-05-08T20:50:00.000Z,4.91706,2016-05-08T20:50:00.000Z,6.553012
2016-05-08T20:55:00.000Z,7.4311409,2016-05-08T20:55:00.000Z,7.872151,2016-05-08T20:55:00.000Z,6.837734222,2016-05-08T20:55:00.000Z,4.925149918,2016-05-08T20:55:00.000Z,6.548775196
2016-05-08T21:00:00.000Z,7.480095,2016-05-08T21:00:00.000Z,7.893178,2016-05-08T21:00:00.000Z,6.876196,2016-05-08T21:00:00.000Z,4.93701601,2016-05-08T21:00:00.000Z,6.55202
2016-05-08T21:05:00.000Z,7.185874,2016-05-08T21:05:00.000Z,7.900540829,2016-05-08T21:05:00.000Z,6.860743999,2016-05-08T21:05:00.000Z,4.929422855,2016-05-08T21:05:00.000Z,6.537636
2016-05-08T21:10:00.000Z,7.126194954,2016-05-08T21:10:00.000Z,7.940491,2016-05-08T21:10:00.000Z,6.878447056,2016-05-08T21:10:00.000Z,4.933428764,2016-05-08T21:10:00.000Z,6.550951958
2016-05-08T21:15:00.000Z,7.318504,2016-05-08T21:15:00.000Z,7.929805,2016-05-08T21:15:00.000Z,6.875664,2016-05-08T21:15:00.000Z,4.943160057,2016-05-08T21:15:00.000Z,6.537520885
2016-05-08T21:20:00.000Z,7.33888,2016-05-08T21:20:00.000Z,7.955676079,2016-05-08T21:20:00.000Z,6.874898911,2016-05-08T21:20:00.000Z,4.927744865,2016-05-08T21:20:00.000Z,6.568350792
2016-05-08T21:25:00.000Z,7.346052,2016-05-08T21:25:00.000Z,7.970863,2016-05-08T21:25:00.000Z,6.879745,2016-05-08T21:25:00.000Z,4.941136,2016-05-08T21:25:00.000Z,6.54263401
2016-05-08T21:30:00.000Z,7.259630203,2016-05-08T21:30:00.000Z,7.942207,2016-05-08T21:30:00.000Z,6.871541,2016-05-08T21:30:00.000Z,4.956629,2016-05-08T21:30:00.000Z,6.568276
2016-05-08T21:35:00.000Z,7.237691,2016-05-08T21:35:00.000Z,7.98338,2016-05-08T21:35:00.000Z,6.903782845,2016-05-08T21:35:00.000Z,4.979218006,2016-05-08T21:35:00.000Z,6.571633
2016-05-08T21:40:00.000Z,7.2412,2016-05-08T21:40:00.000Z,7.957431793,2016-05-08T21:40:00.000Z,6.885471821,2016-05-08T21:40:00.000Z,4.95869,2016-05-08T21:40:00.000Z,6.548892
2016-05-08T21:45:00.000Z,7.215902805,2016-05-08T21:45:00.000Z,7.966514111,2016-05-08T21:45:00.000Z,6.905653,2016-05-08T21:45:00.000Z,4.959452152,2016-05-08T21:45:00.000Z,6.58678
2016-05-08T21:50:00.000Z,7.096704,2016-05-08T21:50:00.000Z,7.977807999,2016-05-08T21:50:00.000Z,6.919161797,2016-05-08T21:50:00.000Z,4.970593,2016-05-08T21:50:00.000Z,6.556561
2016-05-08T21:55:00.000Z,6.940909863,2016-05-08T21:55:00.000Z,7.998488903,2016-05-08T21:55:00.000Z,6.889246,2016-05-08T21:55:00.000Z,4.950254917,2016-05-08T21:55:00.000Z,6.550224781
2016-05-08T22:00:00.000Z,6.542556763,2016-05-08T22:00:00.000Z,8.010621071,2016-05-08T22:00:00.000Z,6.900922775,2016-05-08T22:00:00.000Z,4.952088,2016-05-08T22:00:00.000Z,6.548129
2016-05-08T22:05:00.000Z,6.544693947,2016-05-08T22:05:00.000Z,7.996542,2016-05-08T22:05:00.000Z,6.887988,2016-05-08T22:05:00.000Z,4.963002205,2016-05-08T22:05:00.000Z,6.557093
2016-05-08T22:10:00.000Z,6.525998,2016-05-08T22:10:00.000Z,8.000093,2016-05-08T22:10:00.000Z,6.876694,2016-05-08T22:10:00.000Z,4.95598,2016-05-08T22:10:00.000Z,6.582241058
2016-05-08T22:15:00.000Z,6.333078,2016-05-08T22:15:00.000Z,7.967772007,2016-05-08T22:15:00.000Z,6.841245,2016-05-08T22:15:00.000Z,4.937627,2016-05-08T22:15:00.000Z,6.58330822
2016-05-08T22:20:00.000Z,6.29259491,2016-05-08T22:20:00.000Z,7.987154961,2016-05-08T22:20:00.000Z,6.847768,2016-05-08T22:20:00.000Z,4.96113205,2016-05-08T22:20:00.000Z,6.559233
2016-05-08T22:25:00.000Z,-2.345001,2016-05-08T22:25:00.000Z,7.979792,2016-05-08T22:25:00.000Z,6.860974,2016-05-08T22:25:00.000Z,4.964528084,2016-05-08T22:25:00.000Z,6.587657
2016-05-08T23:25:00.000Z,-43.5617218,2016-05-08T23:25:00.000Z,7.991583,2016-05-08T23:25:00.000Z,6.850975037,2016-05-08T23:25:00.000Z,4.98082,2016-05-08T23:25:00.000Z,6.585025
2016-05-08T23:35:00.000Z,-66.37464142,2016-05-08T23:35:00.000Z,8.011347,2016-05-08T23:35:00.000Z,6.856317997,2016-05-08T23:35:00.000Z,4.95739,2016-05-08T23:35:00.000Z,6.591133118
2016-05-09T02:05:00.000Z,-26.9969101,2016-05-09T02:05:00.000Z,7.98784399,2016-05-09T02:05:00.000Z,6.843801,2016-05-09T02:05:00.000Z,4.990323067,2016-05-09T02:05:00.000Z,6.578730106
