Date,Value
2016-05-09T13:35:00.000Z,9.583311081
2016-05-09T13:40:00.000Z,9.56446
2016-05-09T13:45:00.000Z,9.598535538
2016-05-09T13:50:00.000Z,9.571978569
2016-05-09T13:55:00.000Z,9.564958
2016-05-09T14:00:00.000Z,9.590103
2016-05-09T14:05:00.000Z,9.560150146
2016-05-09T14:10:00.000Z,9.551450729
2016-05-09T14:15:00.000Z,9.566099167
2016-05-09T14:20:00.000Z,9.588230133
2016-05-09T14:25:00.000Z,9.578732
2016-05-09T14:30:00.000Z,9.568659
2016-05-09T14:35:00.000Z,9.55766964
2016-05-09T14:40:00.000Z,9.552631
2016-05-09T14:45:00.000Z,9.560034
2016-05-09T14:50:00.000Z,9.552748
2016-05-09T14:55:00.000Z,9.563318
2016-05-09T15:00:00.000Z,9.556449
2016-05-09T15:05:00.000Z,9.583922
2016-05-09T15:10:00.000Z,9.579991341
2016-05-09T15:15:00.000Z,9.580716133
2016-05-09T15:20:00.000Z,9.568276
2016-05-09T15:25:00.000Z,9.58525753
2016-05-09T15:30:00.000Z,9.571714401
2016-05-09T15:35:00.000Z,9.570033
2016-05-09T15:40:00.000Z,9.570487
2016-05-09T15:45:00.000Z,9.57385
2016-05-09T15:50:00.000Z,9.598536
2016-05-09T15:55:00.000Z,9.573466301
2016-05-09T16:00:00.000Z,9.579686165
2016-05-09T16:05:00.000Z,9.583348
2016-05-09T16:10:00.000Z,9.58785
2016-05-09T16:15:00.000Z,9.587506294
2016-05-09T16:20:00.000Z,9.596475601
2016-05-09T16:25:00.000Z,9.588576
2016-05-09T16:30:00.000Z,9.576634
2016-05-09T16:35:00.000Z,9.593996048
2016-05-09T16:40:00.000Z,9.589034
2016-05-09T16:45:00.000Z,9.563429832
2016-05-09T16:50:00.000Z,9.56343
2016-05-09T16:55:00.000Z,9.577625275
2016-05-09T17:00:00.000Z,9.60822773
2016-05-09T17:05:00.000Z,9.576784134
2016-05-09T17:10:00.000Z,9.566941261
2016-05-09T17:15:00.000Z,9.586554
2016-05-09T17:20:00.000Z,9.558204
2016-05-09T17:25:00.000Z,9.594183922
2016-05-09T17:30:00.000Z,9.581325531
2016-05-09T17:35:00.000Z,9.57789135
2016-05-09T17:40:00.000Z,9.589148
2016-05-09T17:45:00.000Z,9.584072113
2016-05-09T17:50:00.000Z,9.596014
2016-05-09T17:55:00.000Z,9.584262848
2016-05-09T18:00:00.000Z,9.591018677
2016-05-09T18:05:00.000Z,9.594605446
2016-05-09T18:10:00.000Z,9.585788
2016-05-09T18:15:00.000Z,9.616851
2016-05-09T18:20:00.000Z,9.599411
2016-05-09T18:25:00.000Z,9.612578392
2016-05-09T18:30:00.000Z,9.620397568
2016-05-09T18:35:00.000Z,9.608456
2016-05-09T18:40:00.000Z,9.617995
2016-05-09T18:45:00.000Z,9.593843
2016-05-09T18:50:00.000Z,9.609103203
2016-05-09T18:55:00.000Z,9.612348
2016-05-09T19:00:00.000Z,9.613493
2016-05-09T19:05:00.000Z,9.59659
2016-05-09T19:10:00.000Z,9.586324692
2016-05-09T19:15:00.000Z,9.583425
2016-05-09T19:20:00.000Z,9.624670029
2016-05-09T19:25:00.000Z,9.595137
2016-05-09T19:30:00.000Z,9.623185
2016-05-09T19:35:00.000Z,9.615018845
2016-05-09T19:40:00.000Z,9.627039909
2016-05-09T19:45:00.000Z,9.633677
2016-05-09T19:50:00.000Z,9.624976158
2016-05-09T19:55:00.000Z,9.621543
2016-05-09T20:00:00.000Z,9.625244141
2016-05-09T20:05:00.000Z,9.585983
2016-05-09T20:10:00.000Z,9.608838081
2016-05-09T20:15:00.000Z,9.613377
2016-05-09T20:20:00.000Z,9.63215
2016-05-09T20:25:00.000Z,9.61124
2016-05-09T20:30:00.000Z,9.6299
2016-05-09T20:35:00.000Z,9.597006798
2016-05-09T20:40:00.000Z,9.61662
2016-05-09T20:45:00.000Z,9.604603767
